date,EQUITY_A,EQUITY_B,EQUITY_C,DEFENSIVE_D,CYCLICAL_E
2019-01-01,100.823791,101.184662,97.767453,99.853109,99.451203
2019-01-02,101.329686,101.747649,99.361387,99.857825,99.227347
2019-01-03,102.128416,101.883796,98.94312,100.228311,98.817642
2019-01-04,99.82693,99.733592,97.317779,99.415076,97.016715
2019-01-07,100.586834,101.878353,98.976521,100.972114,99.956467
2019-01-08,101.20881,101.707821,100.562624,100.973019,99.020744
2019-01-09,101.505852,101.886368,100.511807,101.658061,96.487216
2019-01-10,100.371264,100.928859,98.1413,101.37695,96.142209
2019-01-11,99.740916,101.063976,98.038604,101.295031,97.324594
2019-01-14,98.926712,100.794396,97.163887,101.010107,99.588237
2019-01-15,98.301502,100.104134,95.416806,100.394708,100.708339
2019-01-16,99.233037,100.090487,95.299634,100.549088,100.757879
2019-01-17,99.723655,99.941489,96.334378,100.162179,101.473945
2019-01-18,100.725322,99.560028,96.372842,100.938975,101.61639
2019-01-21,100.933213,99.471533,99.36008,101.182339,101.875467
2019-01-22,101.262371,101.740719,97.430317,101.257352,102.628157
2019-01-23,100.854027,101.30914,98.610864,101.321733,105.67538
2019-01-24,103.421582,100.911411,96.839674,101.542596,105.948275
2019-01-25,102.161706,100.895544,95.702228,100.291695,104.890069
2019-01-28,102.679596,100.421085,95.910374,100.153142,104.719988
2019-01-29,104.972773,102.530598,97.984629,100.66333,106.988936
2019-01-30,103.5001,101.772202,96.116019,100.05171,105.311997
2019-01-31,102.454351,101.875701,94.201952,99.637771,105.162594
2019-02-01,103.435758,103.405896,95.651555,100.268229,104.285146
2019-02-04,103.834059,104.311495,96.659686,100.404182,105.923537
2019-02-05,103.836751,104.806007,97.308481,99.758787,106.613746
2019-02-06,106.289006,106.036924,99.043836,100.307738,107.085607
2019-02-07,108.184654,106.030554,99.543518,99.441483,106.937421
2019-02-08,109.189837,105.915717,97.986429,99.202104,106.842186
2019-02-11,109.61041,105.622124,97.9118,99.15752,106.013742
2019-02-12,108.705221,104.609751,98.445676,99.067198,105.353013
2019-02-13,108.27658,104.185625,98.680367,99.986575,102.712513
2019-02-14,107.247487,104.277343,101.354322,99.880628,105.413442
2019-02-15,106.649578,103.02095,101.009306,99.477405,105.185947
2019-02-18,107.876979,103.311116,99.723175,99.345357,104.062812
2019-02-19,107.45544,104.19887,102.699703,99.282514,106.134565
2019-02-20,106.118446,104.004675,104.079425,99.319734,105.877654
2019-02-21,106.817562,104.143055,103.090691,99.781823,106.237827
2019-02-22,106.606983,103.130151,104.366609,99.264916,103.461579
2019-02-25,107.706228,102.362971,103.99165,97.845568,102.596569
2019-02-26,106.954984,102.836675,104.085894,97.936832,100.95883
2019-02-27,106.509609,102.930792,104.424309,98.17107,100.783065
2019-02-28,107.888202,104.222837,105.851219,98.973637,101.832012
2019-03-01,107.366539,104.991097,107.417126,99.160716,101.961434
2019-03-04,106.969892,103.019979,106.648886,99.232548,103.353017
2019-03-05,107.276972,102.421814,108.799342,99.687726,105.857544
2019-03-06,106.625388,102.025674,104.825818,98.772667,103.642547
2019-03-07,106.791553,103.324443,108.608066,100.227535,105.605068
2019-03-08,109.016907,103.648467,109.781262,99.53899,104.669585
2019-03-11,107.006624,103.282489,111.529875,99.646546,107.014996
2019-03-12,107.936443,104.901193,112.711803,99.572376,105.178304
2019-03-13,108.020918,105.690289,115.011767,100.407913,107.551055
2019-03-14,105.820069,104.673631,112.341246,100.879924,106.537294
2019-03-15,103.930752,104.438422,112.040576,100.031127,103.938981
2019-03-18,102.788641,105.075453,112.412764,99.77887,104.730323
2019-03-19,104.814262,106.72676,113.982683,98.954183,104.884587
2019-03-20,103.763709,105.975009,114.030393,98.363871,104.359246
2019-03-21,103.971662,106.28961,115.560537,98.397854,105.174519
2019-03-22,103.343205,106.199765,118.197253,97.99989,105.776274
2019-03-25,104.503351,106.678067,119.181274,98.420866,106.814554
2019-03-26,104.411381,105.33142,118.813308,97.862801,103.633673
2019-03-27,103.415307,106.281487,121.539497,97.94663,104.451443
2019-03-28,103.85444,106.751963,126.796321,97.20176,105.117906
2019-03-29,103.185208,105.185969,122.082655,97.175061,103.239258
2019-04-01,102.301332,104.649137,120.014056,96.815006,99.884929
2019-04-02,103.475675,105.786743,122.905526,96.468935,100.039676
2019-04-03,102.214401,107.838848,126.29363,97.843044,98.821102
2019-04-04,101.672299,108.631119,125.433171,97.664828,98.472641
2019-04-05,101.076076,109.323098,125.815907,97.965889,99.369399
2019-04-08,102.251804,109.25727,130.396656,99.143173,101.886093
